Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2018),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate
Adams,3/1/20,0,,0,102811,0,,0
Adams,3/2/20,0,,0,102811,0,,0
Adams,3/3/20,0,,0,102811,0,,0
Adams,3/4/20,0,,0,102811,0,,0
Adams,3/5/20,0,,0,102811,0,,0
Adams,3/6/20,0,,0,102811,0,,0
Adams,3/7/20,0,,0,102811,0,,0
Adams,3/8/20,0,0,0,102811,0,0,0
Adams,3/9/20,0,0,0,102811,0,0,0
Adams,3/10/20,0,0,0,102811,0,0,0
Adams,3/11/20,0,0,0,102811,0,0,0
Adams,3/12/20,0,0,0,102811,0,0,0
Adams,3/13/20,0,0,0,102811,0,0,0
Adams,3/14/20,0,0,0,102811,0,0,0
Adams,3/15/20,0,0,0,102811,0,0,0
Adams,3/16/20,0,0,0,102811,0,0,0
Adams,3/17/20,0,0,0,102811,0,0,0
Adams,3/18/20,1,0.1,1,102811,1,0.1,1
Adams,3/19/20,3,0.6,4,102811,2.9,0.6,3.9
Adams,3/20/20,0,0.6,4,102811,0,0.6,3.9
Adams,3/21/20,2,0.9,6,102811,1.9,0.8,5.8
Adams,3/22/20,1,1,7,102811,1,1,6.8
Adams,3/23/20,0,1,7,102811,0,1,6.8
Adams,3/24/20,0,1,7,102811,0,1,6.8
Adams,3/25/20,0,0.9,7,102811,0,0.8,6.8
Adams,3/26/20,1,0.6,8,102811,1,0.6,7.8
Adams,3/27/20,1,0.7,9,102811,1,0.7,8.8
Adams,3/28/20,0,0.4,9,102811,0,0.4,8.8
Adams,3/29/20,0,0.3,9,102811,0,0.3,8.8
Adams,3/30/20,1,0.4,10,102811,1,0.4,9.7
Adams,3/31/20,4,1,14,102811,3.9,1,13.6
Adams,4/1/20,5,1.7,19,102811,4.9,1.7,18.5
Adams,4/2/20,3,2,22,102811,2.9,1.9,21.4
Adams,4/3/20,4,2.4,26,102811,3.9,2.4,25.3
Adams,4/4/20,2,2.7,28,102811,1.9,2.6,27.2
Adams,4/5/20,4,3.3,32,102811,3.9,3.2,31.1
Adams,4/6/20,3,3.6,35,102811,2.9,3.5,34
Adams,4/7/20,5,3.7,40,102811,4.9,3.6,38.9
Adams,4/8/20,7,4,47,102811,6.8,3.9,45.7
Adams,4/9/20,5,4.3,52,102811,4.9,4.2,50.6
Adams,4/10/20,1,3.9,53,102811,1,3.8,51.6
Adams,4/11/20,3,4,56,102811,2.9,3.9,54.5
Adams,4/12/20,8,4.6,64,102811,7.8,4.4,62.3
Adams,4/13/20,7,5.1,71,102811,6.8,5,69.1
Adams,4/14/20,1,4.6,72,102811,1,4.4,70
Adams,4/15/20,3,4,75,102811,2.9,3.9,72.9
Adams,4/16/20,5,4,80,102811,4.9,3.9,77.8
Adams,4/17/20,4,4.4,84,102811,3.9,4.3,81.7
Adams,4/18/20,4,4.6,88,102811,3.9,4.4,85.6
Adams,4/19/20,6,4.3,94,102811,5.8,4.2,91.4
Adams,4/20/20,5,4,99,102811,4.9,3.9,96.3
Adams,4/21/20,2,4.1,101,102811,1.9,4,98.2
Adams,4/22/20,5,4.4,106,102811,4.9,4.3,103.1
Adams,4/23/20,13,5.6,119,102811,12.6,5.4,115.7
Adams,4/24/20,4,5.6,123,102811,3.9,5.4,119.6
Adams,4/25/20,4,5.6,127,102811,3.9,5.4,123.5
Adams,4/26/20,5,5.4,132,102811,4.9,5.3,128.4
Adams,4/27/20,3,5.1,135,102811,2.9,5,131.3
Adams,4/28/20,4,5.4,139,102811,3.9,5.3,135.2
Adams,4/29/20,5,5.4,144,102811,4.9,5.3,140.1
Adams,4/30/20,3,4,147,102811,2.9,3.9,143
Adams,5/1/20,2,3.7,149,102811,1.9,3.6,144.9
Adams,5/2/20,4,3.7,153,102811,3.9,3.6,148.8
Adams,5/3/20,2,3.3,155,102811,1.9,3.2,150.8
Adams,5/4/20,0,2.9,155,102811,0,2.8,150.8
Adams,5/5/20,1,2.4,156,102811,1,2.4,151.7
Adams,5/6/20,1,1.9,157,102811,1,1.8,152.7
Adams,5/7/20,3,1.9,160,102811,2.9,1.8,155.6
Adams,5/8/20,2,1.9,162,102811,1.9,1.8,157.6
Adams,5/9/20,3,1.7,165,102811,2.9,1.7,160.5
Adams,5/10/20,7,2.4,172,102811,6.8,2.4,167.3
Adams,5/11/20,0,2.4,172,102811,0,2.4,167.3
Adams,5/12/20,2,2.6,174,102811,1.9,2.5,169.2
Adams,5/13/20,5,3.1,179,102811,4.9,3.1,174.1
Adams,5/14/20,9,4,188,102811,8.8,3.9,182.9
Adams,5/15/20,1,3.9,189,102811,1,3.8,183.8
Adams,5/16/20,5,4.1,194,102811,4.9,4,188.7
Adams,5/17/20,4,3.7,198,102811,3.9,3.6,192.6
Adams,5/18/20,0,3.7,198,102811,0,3.6,192.6
